Player,Score,Goals,Assists,Saves,Shots
Eaurius,773,4,2,0,7
Rex,736,4,3,0,6
Stinger,509,3,2,0,2
Boomer,368,1,0,2,1
Fury,314,2,0,0,2
Raja,140,0,1,1,1
Eaurius,752,4,1,1,5
Swabbie,402,2,1,1,3
Beast,344,1,2,1,2
Outlaw,296,1,0,1,1
Samara,225,0,0,2,3
Saltie,163,0,0,1,0
Eaurius,686,2,1,1,8
Stinger,232,1,1,0,3
Sundown,196,1,0,0,3
Tusk,282,0,0,3,0
Beast,158,0,0,1,2
Sabretooth,111,0,0,1,0
Eaurius,653,4,0,1,5
Stinger,170,0,2,0,2
Sundown,114,0,0,0,3
Rainmaker,305,1,0,2,2
Storm,302,2,0,1,2
Fury,201,0,1,1,0
Eaurius,771,5,1,0,5
Tex,578,3,0,1,5
Viper,378,2,1,0,3
Hound,354,1,0,2,2
Eaurius,1128,6,2,1,7
Tex,563,3,2,0,3
Centice,303,1,0,1,1
Gerwin,197,0,0,1,1
Eaurius,1078,6,1,2,9
Tex,296,1,2,0,1
Centice,581,4,0,0,4
Gerwin,202,1,1,0,5
Eaurius,1341,9,1,1,7
Outlaw,559,2,2,2,5
Shepard,334,2,0,0,4
Junker,290,1,0,1,3
Eaurius,769,4,2,0,7
Jester,505,3,0,1,4
Gerwin,428,2,0,1,2
Tusk,315,1,0,1,1
Eaurius,847,5,0,1,8
Tex,262,2,0,0,3
Chipper,78,0,0,0,2
Hound,432,2,0,2,4
Imp,229,0,1,2,0
Viper,164,0,0,1,1
Eaurius,1192,8,1,0,11
Tex,310,1,2,0,2
Chipper,98,0,1,0,1
Buzz,229,1,0,1,1
Armstrong,166,0,0,1,2
Shepard,162,1,0,0,2
Beast,489,3,0,0,4
Sabretooth,252,1,1,0,4
Tusk,206,0,2,0,1
Eaurius,557,1,2,3,2
Chipper,282,2,0,0,4
Tex,70,0,0,0,0
Eaurius,1010,6,1,2,7
Tex,611,4,1,0,6
Chipper,386,2,2,0,3
Scout,228,1,0,0,3
Saltie,172,0,0,2,2
Swabbie,110,0,1,0,0
Eaurius,1205,7,3,1,7
Tex,402,2,2,0,2
Chipper,281,1,0,2,2
Gerwin,306,2,0,0,1
Centice,224,0,1,2,4
Junker,56,0,0,0,1
Eaurius,749,4,1,1,6
Chipper,256,1,1,0,4
Tex,132,0,1,1,0
Poncho,433,1,0,3,4
Bandit,186,0,0,1,1
Outlaw,156,0,0,1,2
Chipper,554,3,1,1,5
Eaurius,494,2,1,2,4
Tex,180,1,0,0,2
Rainmaker,149,0,0,1,1
Storm,130,0,0,1,1
Fury,94,0,0,0,2
Eaurius,675,3,2,0,7
Tex,635,3,2,2,3
Chipper,244,2,0,0,2
Rex,257,0,1,2,1
Khan,240,1,0,1,1
Sultan,210,1,0,0,2
Eaurius,1609,9,3,2,13
Tex,560,3,2,1,2
Armstrong,172,0,0,1,3
Buzz,72,0,0,0,1
Eaurius,1619,11,1,0,13
Tex,489,3,1,0,5
Fury,223,0,0,2,0
Storm,206,1,0,0,1
